N,P,K,temperature,humidity,ph,rainfall,label
16.00,65.00,19.00,27.61,69.30,7.04,42.72,lentil
34.00,65.00,19.00,23.44,63.22,5.94,45.40,lentil
14.00,69.00,19.00,20.96,63.68,7.24,52.40,lentil
22.00,55.00,16.00,23.79,68.03,6.52,49.74,lentil
24.00,61.00,17.00,22.64,65.45,6.23,38.30,lentil
2.00,79.00,15.00,21.54,65.47,7.51,35.75,lentil
26.00,63.00,17.00,29.88,65.73,6.95,44.96,lentil
27.00,61.00,15.00,25.27,67.10,6.96,48.34,lentil
24.00,70.00,16.00,25.18,68.93,6.55,35.03,lentil
13.00,74.00,25.00,24.12,61.10,6.46,44.24,lentil
6.00,64.00,23.00,23.34,67.40,7.07,36.19,lentil
12.00,58.00,23.00,21.75,63.40,6.77,50.43,lentil
32.00,79.00,22.00,27.60,63.46,5.92,54.38,lentil
6.00,68.00,18.00,24.39,62.50,6.71,47.26,lentil
10.00,79.00,20.00,24.98,66.90,6.38,38.21,lentil
38.00,77.00,22.00,28.23,69.32,6.31,35.37,lentil
17.00,74.00,17.00,26.03,69.56,7.39,37.11,lentil
26.00,68.00,24.00,28.05,64.08,7.50,37.16,lentil
23.00,75.00,17.00,24.87,64.00,7.20,48.28,lentil
32.00,78.00,22.00,23.97,62.36,7.01,53.41,lentil
19.00,79.00,19.00,20.06,67.76,6.68,42.90,lentil
22.00,60.00,18.00,19.59,61.29,6.74,41.77,lentil
28.00,69.00,16.00,29.77,66.29,6.55,35.70,lentil
1.00,67.00,21.00,27.52,60.54,6.55,48.06,lentil
12.00,67.00,23.00,25.63,63.15,6.59,45.50,lentil
36.00,67.00,20.00,20.39,60.48,6.92,53.32,lentil
28.00,70.00,21.00,25.39,60.50,7.44,39.18,lentil
12.00,71.00,19.00,24.91,60.71,7.14,42.20,lentil
22.00,68.00,16.00,27.70,63.21,7.75,37.46,lentil
26.00,66.00,22.00,18.06,65.10,6.30,51.55,lentil
16.00,65.00,16.00,18.13,62.46,6.08,50.61,lentil
14.00,59.00,22.00,23.83,67.90,6.77,46.91,lentil
33.00,59.00,19.00,23.19,62.75,7.64,49.55,lentil
21.00,63.00,17.00,25.09,68.18,6.56,41.45,lentil
0.00,69.00,21.00,25.87,61.88,7.07,36.68,lentil
10.00,75.00,17.00,18.44,68.05,7.73,39.01,lentil
30.00,61.00,18.00,27.15,67.03,6.16,52.51,lentil
0.00,74.00,17.00,23.33,64.51,7.24,47.02,lentil
35.00,74.00,22.00,26.72,62.97,6.90,42.87,lentil
7.00,63.00,24.00,19.56,64.45,6.82,53.05,lentil
9.00,56.00,17.00,26.14,66.77,6.26,46.48,lentil
14.00,74.00,15.00,28.00,65.58,6.49,49.94,lentil
14.00,76.00,20.00,29.06,62.11,7.04,36.50,lentil
36.00,65.00,16.00,25.71,64.11,7.69,50.17,lentil
28.00,67.00,21.00,21.80,63.73,6.25,46.62,lentil
28.00,79.00,16.00,24.71,60.27,6.05,53.12,lentil
40.00,61.00,22.00,20.95,65.81,7.00,44.24,lentil
10.00,70.00,19.00,24.85,68.98,7.27,41.61,lentil
12.00,80.00,19.00,21.91,65.22,5.96,36.10,lentil
37.00,77.00,20.00,25.93,68.71,7.08,51.02,lentil
0.00,67.00,22.00,29.82,69.41,6.59,51.56,lentil
7.00,73.00,25.00,27.52,63.13,7.29,45.21,lentil
10.00,56.00,18.00,28.00,68.64,7.33,46.11,lentil
39.00,70.00,15.00,20.77,63.90,6.37,47.93,lentil
26.00,56.00,22.00,23.05,60.42,7.01,52.60,lentil
9.00,77.00,17.00,21.66,63.58,6.28,38.08,lentil
4.00,59.00,19.00,26.25,67.63,7.62,40.81,lentil
34.00,73.00,15.00,20.97,63.83,7.63,53.10,lentil
33.00,77.00,15.00,23.90,66.32,7.80,40.75,lentil
2.00,24.00,38.00,24.56,91.64,5.92,111.97,pomegranate
6.00,18.00,37.00,19.66,89.94,5.94,108.05,pomegranate
8.00,26.00,36.00,18.78,87.40,6.80,102.52,pomegranate
37.00,18.00,39.00,24.15,94.51,6.42,110.23,pomegranate
0.00,27.00,38.00,22.45,89.90,6.74,109.39,pomegranate
31.00,25.00,38.00,24.96,92.41,6.50,109.42,pomegranate
21.00,21.00,38.00,22.55,89.33,6.33,104.90,pomegranate
6.00,30.00,40.00,22.77,91.45,6.36,106.97,pomegranate
25.00,27.00,41.00,19.20,94.28,6.92,108.04,pomegranate
15.00,11.00,38.00,23.13,92.68,6.63,109.39,pomegranate
14.00,5.00,36.00,24.93,85.19,5.83,104.77,pomegranate
16.00,10.00,41.00,24.77,85.64,6.74,105.76,pomegranate
36.00,7.00,37.00,19.87,86.36,5.78,108.32,pomegranate
4.00,20.00,41.00,24.27,93.80,6.54,104.54,pomegranate
29.00,22.00,40.00,23.63,89.73,6.15,107.68,pomegranate
16.00,15.00,42.00,19.68,89.09,6.89,108.55,pomegranate
18.00,27.00,41.00,22.37,92.31,7.18,104.82,pomegranate
11.00,18.00,42.00,21.58,94.88,5.94,102.86,pomegranate
5.00,15.00,38.00,18.26,88.17,5.71,108.08,pomegranate
18.00,23.00,44.00,23.71,89.62,6.18,105.65,pomegranate
9.00,8.00,40.00,22.49,89.92,6.55,111.66,pomegranate
40.00,27.00,45.00,21.66,94.79,5.89,112.43,pomegranate
22.00,23.00,44.00,20.13,89.32,6.14,107.34,pomegranate
9.00,16.00,39.00,18.41,91.12,6.10,105.18,pomegranate
12.00,29.00,40.00,19.68,89.75,6.59,111.28,pomegranate
0.00,17.00,42.00,23.20,91.19,6.86,109.09,pomegranate
2.00,21.00,44.00,18.92,87.31,6.57,102.80,pomegranate
28.00,6.00,40.00,22.11,91.34,6.77,106.87,pomegranate
8.00,23.00,44.00,18.47,89.69,7.13,108.48,pomegranate
29.00,16.00,36.00,19.81,88.93,5.74,102.86,pomegranate
17.00,18.00,43.00,24.49,90.84,5.84,103.20,pomegranate
34.00,21.00,42.00,18.76,89.93,6.65,111.02,pomegranate
21.00,23.00,42.00,19.54,90.30,6.90,104.37,pomegranate
25.00,17.00,40.00,18.91,87.75,6.61,111.28,pomegranate
8.00,25.00,36.00,19.91,94.95,6.83,104.03,pomegranate
26.00,18.00,42.00,19.73,89.65,6.91,108.23,pomegranate
4.00,19.00,42.00,23.83,87.84,6.31,111.22,pomegranate
36.00,24.00,41.00,24.94,94.26,7.01,103.88,pomegranate
5.00,24.00,40.00,24.69,93.87,6.30,104.67,pomegranate
19.00,17.00,39.00,24.72,85.56,6.73,111.28,pomegranate
39.00,30.00,38.00,20.13,87.60,6.97,108.07,pomegranate
5.00,29.00,44.00,21.02,93.06,5.58,104.78,pomegranate
4.00,24.00,43.00,22.40,88.15,7.20,109.87,pomegranate
38.00,21.00,35.00,20.34,89.38,5.84,110.97,pomegranate
37.00,11.00,36.00,24.25,85.56,6.71,106.92,pomegranate
9.00,25.00,41.00,24.82,91.91,5.97,109.29,pomegranate
29.00,22.00,43.00,19.66,87.95,5.56,106.04,pomegranate
5.00,21.00,38.00,22.43,90.34,6.11,112.46,pomegranate
22.00,26.00,38.00,22.92,85.13,6.99,110.24,pomegranate
4.00,18.00,37.00,22.92,85.41,7.13,106.28,pomegranate
21.00,6.00,41.00,24.88,89.40,7.09,107.20,pomegranate
29.00,21.00,45.00,23.41,93.13,6.75,105.22,pomegranate
23.00,5.00,44.00,21.21,94.26,7.16,107.57,pomegranate
13.00,7.00,43.00,18.20,91.12,7.01,109.66,pomegranate
5.00,13.00,37.00,22.34,89.79,5.65,103.32,pomegranate
27.00,24.00,41.00,24.33,90.88,6.61,110.46,pomegranate
7.00,23.00,35.00,19.75,88.72,7.05,102.55,pomegranate
12.00,20.00,39.00,19.86,86.20,6.03,111.02,pomegranate
4.00,19.00,43.00,18.07,93.15,5.78,106.36,pomegranate
3.00,9.00,45.00,23.89,89.62,6.54,104.62,pomegranate
1.00,27.00,36.00,23.99,93.34,5.68,104.99,pomegranate
23.00,30.00,44.00,20.94,85.43,6.12,103.03,pomegranate
24.00,21.00,42.00,20.82,87.23,7.00,109.44,pomegranate
13.00,30.00,37.00,20.86,91.62,6.28,106.87,pomegranate
40.00,11.00,44.00,24.46,86.11,6.32,111.38,pomegranate
21.00,9.00,40.00,24.51,90.64,5.96,105.62,pomegranate
3.00,27.00,44.00,24.57,92.03,6.59,110.96,pomegranate
40.00,29.00,42.00,24.63,89.02,7.10,110.70,pomegranate
14.00,25.00,40.00,20.07,90.98,6.41,103.71,pomegranate
38.00,14.00,37.00,21.81,94.64,6.66,102.65,pomegranate
34.00,9.00,36.00,22.81,86.34,6.28,110.44,pomegranate
32.00,14.00,37.00,22.73,88.49,6.83,104.68,pomegranate
18.00,21.00,35.00,23.28,94.94,6.37,111.14,pomegranate
8.00,23.00,38.00,19.30,87.18,7.01,105.48,pomegranate
15.00,6.00,41.00,19.01,88.84,6.90,108.68,pomegranate
0.00,5.00,36.00,24.35,90.89,6.15,105.53,pomegranate
22.00,9.00,44.00,24.72,88.88,5.74,112.19,pomegranate
14.00,8.00,43.00,21.93,94.46,7.05,111.72,pomegranate
31.00,11.00,45.00,24.84,86.89,6.03,107.64,pomegranate
39.00,17.00,45.00,18.10,90.42,6.92,104.88,pomegranate
10.00,5.00,42.00,20.24,91.09,6.89,109.25,pomegranate
8.00,28.00,38.00,23.23,94.43,6.84,105.69,pomegranate
32.00,13.00,42.00,23.50,92.98,5.79,106.62,pomegranate
18.00,9.00,40.00,19.45,89.02,5.63,106.16,pomegranate
20.00,27.00,41.00,20.51,92.52,5.70,110.58,pomegranate
39.00,25.00,36.00,18.90,95.00,5.57,107.61,pomegranate
20.00,7.00,45.00,18.91,89.24,6.08,112.48,pomegranate
11.00,10.00,45.00,22.63,88.46,6.40,109.04,pomegranate
40.00,18.00,43.00,19.39,86.79,5.77,109.91,pomegranate
3.00,26.00,39.00,24.38,91.19,7.08,103.60,pomegranate
9.00,16.00,36.00,23.78,92.93,5.89,106.98,pomegranate
30.00,20.00,38.00,22.60,93.16,7.06,110.09,pomegranate
40.00,9.00,41.00,24.38,85.40,5.78,106.13,pomegranate
40.00,30.00,35.00,20.89,91.08,6.27,104.44,pomegranate
32.00,25.00,35.00,18.10,85.71,5.89,107.01,pomegranate
33.00,23.00,45.00,20.00,85.84,7.12,112.34,pomegranate
4.00,14.00,41.00,19.85,89.81,6.43,102.82,pomegranate
13.00,17.00,45.00,21.25,92.65,7.16,106.28,pomegranate
39.00,24.00,39.00,23.65,93.33,6.43,109.81,pomegranate
8.00,28.00,37.00,23.88,86.21,6.08,108.31,pomegranate
91.00,94.00,46.00,29.37,76.25,6.15,92.83,banana
105.00,95.00,50.00,27.33,83.68,5.85,101.05,banana
108.00,92.00,53.00,27.40,82.96,6.28,104.94,banana
86.00,76.00,54.00,29.32,80.12,5.93,90.11,banana
80.00,77.00,49.00,26.05,79.40,5.52,113.23,banana
93.00,94.00,53.00,25.87,84.42,6.08,114.54,banana
90.00,92.00,55.00,27.01,80.19,6.13,97.33,banana
108.00,89.00,53.00,29.55,78.07,5.81,99.34,banana
108.00,88.00,55.00,26.29,83.39,5.89,113.87,banana
105.00,77.00,52.00,29.16,76.16,5.82,100.01,banana
118.00,88.00,52.00,28.65,82.69,5.84,98.75,banana
101.00,87.00,54.00,29.07,76.50,6.38,100.17,banana
95.00,75.00,50.00,28.08,75.26,5.62,118.28,banana
106.00,85.00,53.00,27.20,78.81,5.92,99.72,banana
86.00,95.00,49.00,28.05,78.05,6.46,108.40,banana
83.00,79.00,55.00,25.15,83.35,5.57,98.67,banana
85.00,95.00,47.00,25.94,78.34,6.21,119.85,banana
109.00,79.00,45.00,27.67,79.69,6.49,108.66,banana
100.00,76.00,45.00,25.57,75.94,5.59,102.79,banana
117.00,86.00,48.00,28.70,82.54,6.23,116.16,banana
114.00,94.00,53.00,26.34,76.85,6.19,118.69,banana
110.00,78.00,50.00,25.94,78.90,5.92,98.22,banana
94.00,70.00,48.00,25.14,84.88,6.20,91.46,banana
80.00,71.00,47.00,27.51,80.80,6.16,105.08,banana
114.00,79.00,51.00,26.21,82.34,6.31,112.07,banana
88.00,78.00,45.00,29.10,79.20,6.32,92.08,banana
112.00,73.00,48.00,29.24,77.32,5.71,90.67,banana
117.00,76.00,47.00,25.56,77.38,6.12,93.10,banana
111.00,87.00,48.00,26.40,81.36,5.57,98.17,banana
89.00,83.00,47.00,28.10,77.80,5.63,109.54,banana
93.00,91.00,47.00,27.85,83.31,6.10,117.29,banana
92.00,81.00,52.00,27.39,81.47,6.44,94.31,banana
105.00,74.00,45.00,25.15,81.38,6.10,119.22,banana
102.00,71.00,48.00,28.65,79.29,5.70,102.46,banana
94.00,91.00,51.00,29.16,76.67,5.62,109.58,banana
116.00,71.00,47.00,27.57,82.06,6.44,91.34,banana
117.00,79.00,49.00,25.41,82.36,6.18,112.98,banana
119.00,72.00,55.00,25.99,83.34,6.22,112.08,banana
99.00,73.00,53.00,26.29,81.06,5.87,118.67,banana
91.00,84.00,52.00,29.15,78.71,6.39,117.54,banana
80.00,90.00,47.00,26.60,79.36,6.21,107.39,banana
101.00,70.00,48.00,25.36,75.03,6.01,116.55,banana
108.00,89.00,53.00,29.12,80.18,5.91,112.40,banana
100.00,80.00,52.00,27.54,77.26,6.05,110.33,banana
109.00,91.00,53.00,29.67,83.51,6.01,110.25,banana
82.00,78.00,46.00,25.06,84.97,5.74,110.44,banana
106.00,70.00,55.00,25.87,78.52,5.74,116.30,banana
90.00,86.00,52.00,25.85,81.96,5.79,119.09,banana
83.00,95.00,50.00,26.52,77.80,5.51,108.85,banana
119.00,90.00,48.00,28.67,79.59,5.99,118.26,banana
107.00,72.00,45.00,28.15,81.54,5.79,91.41,banana
116.00,81.00,55.00,26.42,83.70,5.92,95.12,banana
101.00,75.00,50.00,26.59,81.41,6.24,109.98,banana
93.00,81.00,50.00,27.72,76.58,6.04,102.21,banana
95.00,75.00,45.00,28.98,82.96,5.83,109.02,banana
107.00,71.00,55.00,29.42,83.97,6.09,117.23,banana
83.00,94.00,47.00,27.40,81.11,6.47,112.14,banana
102.00,73.00,54.00,26.40,84.41,5.72,111.02,banana
86.00,79.00,45.00,27.81,82.69,5.81,99.21,banana
117.00,86.00,53.00,25.20,83.56,5.70,115.86,banana
111.00,79.00,53.00,28.31,75.77,6.17,119.70,banana
95.00,74.00,50.00,25.90,80.47,6.00,110.10,banana
91.00,75.00,55.00,27.49,76.11,6.21,109.28,banana
93.00,83.00,46.00,29.38,83.50,5.77,109.25,banana
92.00,85.00,51.00,29.22,81.08,5.74,108.86,banana
104.00,80.00,54.00,27.09,81.34,5.88,110.13,banana
103.00,72.00,51.00,26.13,81.81,6.10,104.48,banana
92.00,75.00,45.00,29.01,77.95,5.67,90.43,banana
93.00,85.00,49.00,27.97,79.29,5.69,119.48,banana
120.00,87.00,52.00,28.08,76.06,5.91,118.99,banana
108.00,72.00,46.00,25.16,84.98,6.11,90.95,banana
105.00,88.00,54.00,25.79,84.51,6.02,114.20,banana
98.00,79.00,50.00,25.34,84.47,6.44,91.06,banana
111.00,88.00,55.00,29.45,78.35,5.51,96.45,banana
97.00,74.00,45.00,26.48,78.52,5.68,113.12,banana
95.00,82.00,48.00,27.39,83.31,5.72,92.78,banana
89.00,91.00,55.00,25.08,80.26,6.28,94.33,banana
89.00,85.00,55.00,26.67,76.49,6.28,91.73,banana
118.00,88.00,51.00,25.45,79.49,6.20,100.66,banana
101.00,92.00,45.00,28.23,80.64,5.76,98.00,banana
99.00,92.00,47.00,28.13,77.48,6.32,103.50,banana
82.00,77.00,46.00,28.95,82.19,5.90,95.83,banana
90.00,86.00,55.00,27.96,84.15,5.64,97.56,banana
95.00,88.00,52.00,28.00,78.90,6.24,94.68,banana
104.00,73.00,46.00,29.14,80.12,6.28,90.45,banana
102.00,73.00,52.00,27.91,83.36,6.36,90.24,banana
100.00,74.00,52.00,25.43,81.54,5.84,96.48,banana
94.00,89.00,48.00,28.56,84.52,5.65,111.08,banana
99.00,70.00,46.00,26.60,83.00,5.73,100.51,banana
112.00,87.00,48.00,27.20,77.40,6.20,99.47,banana
117.00,82.00,45.00,25.29,79.29,5.61,105.42,banana
96.00,86.00,51.00,29.91,76.99,6.26,92.00,banana
113.00,85.00,45.00,27.95,76.64,6.04,109.09,banana
105.00,93.00,46.00,25.01,78.76,5.76,108.37,banana
85.00,89.00,51.00,29.21,84.70,6.16,108.55,banana
108.00,94.00,47.00,27.36,84.55,6.39,90.81,banana
92.00,81.00,52.00,28.01,76.53,5.89,103.70,banana
110.00,71.00,54.00,28.67,82.21,5.73,94.38,banana
82.00,75.00,55.00,27.35,78.49,6.28,92.16,banana
117.00,81.00,53.00,29.51,78.21,5.51,98.13,banana
2.00,40.00,27.00,29.74,47.55,5.95,90.10,mango
39.00,24.00,31.00,33.56,53.73,4.76,98.68,mango
21.00,26.00,27.00,27.00,47.68,5.70,95.85,mango
25.00,22.00,25.00,33.56,45.54,5.98,95.71,mango
0.00,21.00,32.00,35.90,54.26,6.43,92.20,mango
20.00,19.00,35.00,34.18,50.62,6.11,98.01,mango
19.00,21.00,34.00,30.02,53.19,5.07,97.73,mango
18.00,17.00,31.00,31.75,45.16,5.67,93.75,mango
11.00,36.00,33.00,35.99,52.23,5.98,95.37,mango
30.00,28.00,30.00,31.87,52.19,5.06,98.47,mango
18.00,19.00,27.00,27.76,52.35,4.77,94.11,mango
23.00,23.00,27.00,34.72,51.43,5.16,97.31,mango
37.00,30.00,34.00,27.54,53.64,6.80,99.35,mango
11.00,27.00,30.00,27.70,48.56,6.39,89.86,mango
12.00,19.00,31.00,27.25,52.66,5.57,91.87,mango
3.00,28.00,33.00,30.34,48.89,5.76,94.43,mango
37.00,38.00,32.00,31.86,45.53,5.42,91.56,mango
26.00,37.00,30.00,35.40,49.46,6.17,97.41,mango
14.00,18.00,30.00,29.81,52.14,5.19,95.75,mango
40.00,16.00,35.00,34.16,54.16,4.95,98.33,mango
4.00,20.00,25.00,28.93,47.94,5.66,99.98,mango
36.00,25.00,33.00,27.98,53.33,5.55,99.61,mango
30.00,17.00,31.00,31.20,54.50,6.80,94.63,mango
28.00,37.00,28.00,32.13,50.53,6.10,98.63,mango
38.00,15.00,30.00,28.92,48.14,5.08,97.01,mango
12.00,37.00,30.00,31.10,47.41,4.55,90.29,mango
38.00,19.00,31.00,34.74,49.09,5.86,90.65,mango
8.00,33.00,29.00,29.98,49.49,6.44,91.82,mango
15.00,27.00,28.00,33.80,46.13,4.51,90.83,mango
34.00,16.00,25.00,30.07,50.96,6.11,92.10,mango
11.00,36.00,31.00,27.92,51.78,6.48,100.26,mango
33.00,29.00,34.00,31.41,49.22,6.83,93.00,mango
12.00,31.00,26.00,35.79,51.94,5.40,100.22,mango
12.00,34.00,28.00,33.36,45.02,6.14,98.82,mango
5.00,16.00,31.00,35.96,48.70,4.56,98.01,mango
1.00,30.00,29.00,28.33,51.40,6.43,91.67,mango
16.00,35.00,31.00,32.28,50.19,5.32,95.99,mango
35.00,18.00,26.00,31.99,50.85,5.28,97.39,mango
4.00,40.00,26.00,27.58,48.57,6.72,95.84,mango
9.00,29.00,34.00,29.38,45.89,5.73,100.81,mango
2.00,38.00,33.00,32.39,53.23,4.69,90.22,mango
26.00,32.00,32.00,30.91,49.93,6.81,90.14,mango
34.00,38.00,31.00,35.38,45.58,6.45,97.42,mango
5.00,32.00,33.00,32.32,52.59,5.84,93.37,mango
31.00,29.00,26.00,28.22,47.41,5.02,97.77,mango
34.00,34.00,35.00,27.27,47.17,6.42,95.26,mango
36.00,19.00,32.00,27.11,50.71,4.94,92.37,mango
7.00,17.00,26.00,34.89,48.76,6.41,91.63,mango
38.00,15.00,27.00,33.75,48.50,6.78,92.26,mango
5.00,19.00,25.00,27.35,54.44,6.44,96.28,mango
37.00,36.00,26.00,32.89,52.61,4.65,94.49,mango
21.00,31.00,32.00,35.39,51.43,5.25,90.30,mango
37.00,36.00,27.00,27.55,47.91,5.91,90.40,mango
23.00,23.00,30.00,32.82,47.46,4.76,90.89,mango
36.00,26.00,26.00,30.17,51.08,6.81,95.23,mango
24.00,33.00,35.00,29.26,54.82,5.34,100.76,mango
26.00,18.00,30.00,32.06,51.08,6.34,96.60,mango
22.00,17.00,26.00,28.70,47.72,4.75,99.64,mango
11.00,34.00,32.00,29.14,49.41,6.83,97.55,mango
29.00,35.00,28.00,28.35,53.54,6.97,90.40,mango
22.00,28.00,26.00,27.67,45.42,4.95,92.85,mango
23.00,24.00,32.00,28.12,46.17,5.63,93.30,mango
1.00,35.00,34.00,30.79,46.70,6.27,92.21,mango
2.00,24.00,34.00,28.89,54.81,6.47,94.76,mango
39.00,37.00,25.00,33.33,45.61,6.95,98.29,mango
15.00,36.00,27.00,27.79,53.97,5.64,91.01,mango
3.00,18.00,31.00,31.65,48.21,6.39,91.10,mango
8.00,38.00,32.00,29.75,46.74,4.98,91.41,mango
33.00,31.00,34.00,31.33,50.22,5.42,89.78,mango
14.00,29.00,32.00,35.64,48.97,6.94,97.52,mango
18.00,20.00,26.00,31.67,51.99,5.44,89.98,mango
9.00,21.00,32.00,32.27,53.56,5.87,95.94,mango
20.00,30.00,27.00,27.81,51.59,4.75,95.90,mango
9.00,38.00,25.00,34.59,50.34,5.50,100.31,mango
26.00,24.00,34.00,31.27,52.24,6.81,89.74,mango
31.00,36.00,29.00,33.94,52.72,6.46,97.46,mango
14.00,18.00,35.00,31.09,47.02,4.79,91.47,mango
40.00,16.00,35.00,31.89,49.02,6.48,89.59,mango
28.00,27.00,34.00,32.45,50.70,6.53,95.05,mango
0.00,17.00,30.00,35.47,47.97,6.28,97.79,mango
1.00,29.00,29.00,27.33,49.30,6.05,93.53,mango
2.00,36.00,31.00,30.90,49.96,5.73,91.78,mango
12.00,27.00,26.00,29.09,45.57,5.32,96.24,mango
7.00,28.00,35.00,30.02,46.78,4.67,96.64,mango
0.00,36.00,26.00,34.13,51.26,5.10,96.39,mango
26.00,35.00,31.00,33.45,53.06,5.34,98.05,mango
27.00,21.00,30.00,35.39,52.49,5.06,91.23,mango
22.00,38.00,31.00,31.53,53.06,5.82,98.57,mango
22.00,18.00,31.00,30.76,47.94,5.96,90.39,mango
28.00,23.00,28.00,30.02,50.10,5.68,96.09,mango
7.00,31.00,27.00,31.33,47.59,6.52,94.67,mango
29.00,34.00,26.00,33.88,54.39,6.27,89.29,mango
8.00,37.00,33.00,28.08,54.96,6.13,97.45,mango
39.00,16.00,27.00,35.54,52.95,4.93,91.55,mango
40.00,24.00,25.00,28.71,50.44,5.45,95.89,mango
19.00,38.00,26.00,31.48,48.78,4.53,93.17,mango
21.00,21.00,30.00,27.70,51.42,5.40,100.77,mango
22.00,18.00,33.00,30.41,52.48,6.62,93.92,mango
31.00,20.00,30.00,32.18,54.01,6.21,91.89,mango
18.00,26.00,31.00,32.61,47.75,5.42,91.10,mango
24.00,130.00,195.00,30.00,81.54,6.11,67.13,grapes
13.00,144.00,204.00,30.73,82.43,6.09,68.38,grapes
22.00,123.00,205.00,32.45,83.89,5.90,68.74,grapes
36.00,125.00,196.00,37.47,80.66,6.16,66.84,grapes
24.00,131.00,196.00,22.03,83.74,5.73,65.34,grapes
2.00,123.00,198.00,39.65,82.21,6.25,70.40,grapes
35.00,140.00,197.00,16.78,82.75,6.11,66.76,grapes
11.00,122.00,195.00,12.14,83.57,5.65,69.63,grapes
6.00,123.00,203.00,12.76,81.62,6.13,66.78,grapes
17.00,134.00,204.00,39.04,80.18,6.50,73.88,grapes
25.00,130.00,197.00,39.71,82.69,5.55,74.92,grapes
27.00,145.00,205.00,9.47,82.29,5.80,66.03,grapes
9.00,122.00,201.00,29.59,80.92,5.57,68.06,grapes
16.00,139.00,203.00,17.83,80.96,6.28,65.85,grapes
32.00,141.00,204.00,8.83,82.90,5.54,67.24,grapes
22.00,138.00,195.00,27.83,83.51,6.21,73.03,grapes
31.00,144.00,202.00,11.02,80.56,5.87,68.24,grapes
3.00,136.00,205.00,17.59,80.85,6.33,71.41,grapes
28.00,122.00,197.00,19.89,82.73,5.86,69.66,grapes
4.00,136.00,204.00,29.94,81.78,5.90,65.52,grapes
39.00,145.00,201.00,36.73,80.59,5.78,72.24,grapes
38.00,132.00,197.00,20.42,81.54,5.93,66.93,grapes
36.00,133.00,198.00,25.52,83.98,6.23,69.17,grapes
25.00,121.00,201.00,30.51,82.72,5.59,70.08,grapes
15.00,125.00,199.00,18.43,80.56,5.57,69.76,grapes
24.00,140.00,205.00,12.09,83.59,5.93,68.67,grapes
13.00,132.00,203.00,23.60,82.48,6.42,73.24,grapes
5.00,126.00,197.00,12.80,81.21,6.42,67.10,grapes
30.00,120.00,200.00,38.06,82.25,6.23,65.70,grapes
23.00,142.00,197.00,39.07,82.04,6.00,69.31,grapes
26.00,135.00,203.00,33.78,81.16,5.69,74.54,grapes
7.00,126.00,203.00,16.76,82.00,5.66,73.29,grapes
32.00,139.00,198.00,35.89,82.67,6.36,66.54,grapes
9.00,141.00,202.00,21.01,81.18,6.12,66.38,grapes
20.00,142.00,196.00,10.90,80.02,6.21,68.69,grapes
32.00,129.00,201.00,16.36,83.00,6.49,71.56,grapes
3.00,134.00,199.00,20.28,81.32,5.82,71.07,grapes
38.00,138.00,204.00,25.11,83.25,6.33,73.01,grapes
14.00,131.00,198.00,33.46,83.87,5.56,67.92,grapes
20.00,122.00,204.00,11.80,80.86,6.49,65.07,grapes
40.00,126.00,201.00,11.36,80.03,6.12,71.18,grapes
36.00,128.00,204.00,25.24,80.69,5.70,67.04,grapes
11.00,132.00,197.00,15.99,81.24,5.73,74.40,grapes
0.00,137.00,195.00,22.44,80.19,6.33,65.40,grapes
19.00,123.00,200.00,34.76,81.04,6.17,65.70,grapes
31.00,136.00,197.00,31.11,83.34,5.65,71.43,grapes
4.00,134.00,200.00,28.58,80.96,5.84,73.34,grapes
39.00,139.00,201.00,41.19,81.02,5.54,68.69,grapes
8.00,127.00,196.00,27.03,83.17,5.83,70.96,grapes
39.00,138.00,203.00,21.19,82.33,6.40,74.63,grapes
32.00,120.00,204.00,10.38,83.45,6.14,67.39,grapes
12.00,142.00,203.00,31.31,82.56,5.97,65.01,grapes
8.00,133.00,195.00,20.47,80.98,6.46,71.30,grapes
8.00,139.00,199.00,29.37,81.54,6.34,66.13,grapes
21.00,134.00,202.00,10.72,80.02,6.43,65.30,grapes
40.00,140.00,195.00,14.98,80.50,6.29,71.63,grapes
39.00,127.00,202.00,15.32,81.67,6.48,71.60,grapes
19.00,120.00,195.00,18.74,81.12,5.93,73.56,grapes
21.00,139.00,201.00,19.36,83.36,5.98,67.15,grapes
17.00,136.00,195.00,41.21,81.61,6.39,65.90,grapes
33.00,139.00,203.00,33.34,82.51,5.69,70.68,grapes
22.00,133.00,201.00,23.82,80.12,6.00,67.27,grapes
32.00,130.00,196.00,40.66,81.25,6.37,74.03,grapes
37.00,135.00,205.00,11.83,80.28,5.51,74.10,grapes
15.00,140.00,195.00,13.29,83.54,5.70,65.80,grapes
39.00,132.00,196.00,35.83,83.33,5.78,73.68,grapes
40.00,121.00,199.00,26.18,81.04,6.32,66.06,grapes
40.00,132.00,202.00,24.58,80.71,5.97,69.71,grapes
29.00,142.00,203.00,29.67,83.71,5.89,66.48,grapes
32.00,121.00,199.00,39.37,81.25,6.13,74.08,grapes
6.00,140.00,205.00,17.67,82.93,6.31,69.87,grapes
8.00,120.00,196.00,24.07,82.66,6.05,69.82,grapes
34.00,133.00,202.00,15.31,80.10,5.80,74.82,grapes
35.00,135.00,199.00,21.77,80.55,6.40,69.40,grapes
16.00,145.00,199.00,26.92,80.77,5.95,69.31,grapes
8.00,136.00,201.00,41.66,82.22,5.61,74.20,grapes
25.00,129.00,195.00,17.99,81.18,5.78,72.37,grapes
